央视,#genre#
CCTV1HD,http://192.168.8.1:4022/udp/239.254.96.82:7640
CCTV2HD,http://192.168.8.1:4022/udp/239.254.96.124:7084
CCTV3HD,http://192.168.8.1:4022/udp/239.254.96.67:7520
CCTV4HD,http://192.168.8.1:4022/udp/239.254.96.180:7092
CCTV5HD,http://192.168.8.1:4022/udp/239.254.96.66:7512
CCTV5+HD,http://192.168.8.1:4022/udp/239.254.96.83:7004
CCTV6HD,http://192.168.8.1:4022/udp/239.254.96.63:7488
CCTV7HD,http://192.168.8.1:4022/udp/239.254.96.125:7104
CCTV8HD,http://192.168.8.1:4022/udp/239.254.96.62:7480
CCTV9HD,http://192.168.8.1:4022/udp/239.254.96.126:7112
CCTV10HD,http://192.168.8.1:4022/udp/239.254.96.127:7116
CCTV11HD,http://192.168.8.1:4022/udp/239.254.96.187:8166
CCTV12HD,http://192.168.8.1:4022/udp/239.254.96.128:7124
CCTV13HD,http://192.168.8.1:4022/udp/239.254.96.200:8205
CCTV14HD,http://192.168.8.1:4022/udp/239.254.96.129:7132
CCTV15HD,http://192.168.8.1:4022/udp/239.254.96.188:8170
CCTV164K,http://192.168.8.1:4022/udp/239.254.96.170:8206
CCTV17HD,http://192.168.8.1:4022/udp/239.254.96.57:8204
CGTN英文纪录,http://192.168.8.1:4022/udp/239.254.96.58:7448
CGTN,http://192.168.8.1:4022/udp/239.254.96.16:7112
海南,#genre#
海南卫视HD,http://192.168.8.1:4022/udp/239.254.96.179:7154
三沙卫视HD,http://192.168.8.1:4022/udp/239.254.96.184:7158
海南自贸HD,http://192.168.8.1:4022/udp/239.254.96.185:8162
海南公共HD,http://192.168.8.1:4022/udp/239.254.96.186:8164
海南文旅HD,http://192.168.8.1:4022/udp/239.254.96.191:8176
海南少儿HD,http://192.168.8.1:4022/udp/239.254.96.192:8178
海南新闻HD,http://192.168.8.1:4022/udp/239.254.96.190:8174
海口1台,http://192.168.8.1:4022/udp/239.254.96.103:7808
三亚1台,http://192.168.8.1:4022/udp/239.254.96.106:8832
文昌,http://192.168.8.1:4022/udp/239.254.96.107:7840
卫视,#genre#
北京卫视HD,http://192.168.8.1:4022/udp/239.254.96.84:7656
东方卫视HD,http://192.168.8.1:4022/udp/239.254.96.90:7704
湖南卫视HD,http://192.168.8.1:4022/udp/239.254.96.85:7664
广东卫视HD,http://192.168.8.1:4022/udp/239.254.96.130:7048
江苏卫视HD,http://192.168.8.1:4022/udp/239.254.96.88:7688
山东卫视HD,http://192.168.8.1:4022/udp/239.254.96.131:7052
浙江卫视HD,http://192.168.8.1:4022/udp/239.254.96.89:7696
黑龙江卫视HD,http://192.168.8.1:4022/udp/239.254.96.86:7672
湖北卫视HD,http://192.168.8.1:4022/udp/239.254.96.91:7712
深圳卫视HD,http://192.168.8.1:4022/udp/239.254.96.87:7020
贵州卫视HD,http://192.168.8.1:4022/udp/239.254.96.182:7076
河北卫视HD,http://192.168.8.1:4022/udp/239.254.96.181:7072
安徽卫视HD,http://192.168.8.1:4022/udp/239.254.96.133:7064
东南卫视HD,http://192.168.8.1:4022/udp/239.254.96.189:8172
辽宁卫视HD,http://192.168.8.1:4022/udp/239.254.96.132:7056
天津卫视HD,http://192.168.8.1:4022/udp/239.254.96.183:7364
重庆卫视HD,http://192.168.8.1:4022/udp/239.254.96.60:7464
江西卫视HD,http://192.168.8.1:4022/udp/239.254.96.61:7472
吉林卫视HD,http://192.168.8.1:4022/udp/239.254.96.65:7504
新疆卫视,http://192.168.8.1:4022/udp/239.254.96.54:7416
兵团卫视,http://192.168.8.1:4022/udp/239.254.96.153:8126
甘肃卫视,http://192.168.8.1:4022/udp/239.254.96.55:7424
青海卫视,http://192.168.8.1:4022/udp/239.254.96.51:7392
陕西卫视,http://192.168.8.1:4022/udp/239.254.96.48:7368
厦门卫视,http://192.168.8.1:4022/udp/239.254.96.152:8122
河南卫视,http://192.168.8.1:4022/udp/239.254.96.34:7256
宁夏卫视,http://192.168.8.1:4022/udp/239.254.96.52:7400
山西卫视,http://192.168.8.1:4022/udp/239.254.96.49:7376
西藏卫视,http://192.168.8.1:4022/udp/239.254.96.53:7408
云南卫视,http://192.168.8.1:4022/udp/239.254.96.33:7248
其他,#genre#
纪实HD,http://192.168.8.1:4022/udp/239.254.96.134:7060
金鹰纪实HD,http://192.168.8.1:4022/udp/239.254.96.154:7156
内蒙古卫视,http://192.168.8.1:4022/udp/239.254.96.50:7384
卡酷动画,http://192.168.8.1:4022/udp/239.254.96.69:7536
嘉佳卡通,http://192.168.8.1:4022/udp/239.254.96.71:7552
金鹰卡通,http://192.168.8.1:4022/udp/239.254.96.70:7544
教育1HD,http://192.168.8.1:4022/udp/239.254.96.155:7152
CETV1,http://192.168.8.1:4022/udp/239.254.96.167:8142
CETV2,http://192.168.8.1:4022/udp/239.254.96.168:8146
CETV4,http://192.168.8.1:4022/udp/239.254.96.169:8148
财富天下,http://192.168.8.1:4022/udp/239.254.96.72:7560
爱综艺,http://192.168.8.1:4022/udp/239.254.96.3:7004
爱体育HD,http://192.168.8.1:4022/udp/239.254.96.101:7792
爱电影,http://192.168.8.1:4022/udp/239.254.96.6:7016
爱大剧,http://192.168.8.1:4022/udp/239.254.96.8:7048
收视指南,http://192.168.8.1:4022/udp/239.254.96.17:7120
爱上4K,http://192.168.8.1:4022/udp/239.254.96.102:7800
墨宝,http://192.168.8.1:4022/udp/239.254.96.94:8714
国学,http://192.168.8.1:4022/udp/239.254.96.141:8094
爱生活,http://192.168.8.1:4022/udp/239.254.96.145:7996
早教,http://192.168.8.1:4022/udp/239.254.96.143:8098
好学生,http://192.168.8.1:4022/udp/239.254.96.144:7994
IPTV法治,http://192.168.8.1:4022/udp/239.254.96.81:7632
IPTV野外,http://192.168.8.1:4022/udp/239.254.96.80:7624
地理,http://192.168.8.1:4022/udp/239.254.96.139:8086
解密,http://192.168.8.1:4022/udp/239.254.96.100:8066
军事,http://192.168.8.1:4022/udp/239.254.96.140:8090
IPTV谍战剧场,http://192.168.8.1:4022/udp/239.254.96.77:7600
古装剧场,http://192.168.8.1:4022/udp/239.254.96.137:8078
城市剧场,http://192.168.8.1:4022/udp/239.254.96.150:8114
军旅剧场,http://192.168.8.1:4022/udp/239.254.96.136:8070
热播剧场,http://192.168.8.1:4022/udp/239.254.96.74:7576
武侠剧场,http://192.168.8.1:4022/udp/239.254.96.92:8706
精选,http://192.168.8.1:4022/udp/239.254.96.73:8212
动作影院,http://192.168.8.1:4022/udp/239.254.96.148:8108
家庭影院,http://192.168.8.1:4022/udp/239.254.96.149:8110
喜剧影院,http://192.168.8.1:4022/udp/239.254.96.147:8106
经典电影,http://192.168.8.1:4022/udp/239.254.96.75:7584
动画,http://192.168.8.1:4022/udp/239.254.96.93:8708
少儿动画,http://192.168.8.1:4022/udp/239.254.96.79:7616
足球,http://192.168.8.1:4022/udp/239.254.96.146:7998
武术,http://192.168.8.1:4022/udp/239.254.96.98:8762
台球,http://192.168.8.1:4022/udp/239.254.96.95:8716
高网,http://192.168.8.1:4022/udp/239.254.96.99:8764
IPTV相声小品,http://192.168.8.1:4022/udp/239.254.96.78:7608
美人,http://192.168.8.1:4022/udp/239.254.96.96:8718
戏曲,http://192.168.8.1:4022/udp/239.254.96.142:8096
音乐现场,http://192.168.8.1:4022/udp/239.254.96.138:8082
魅力时尚,http://192.168.8.1:4022/udp/239.254.96.76:7592
